Incident ID,Status,Affected CI,Primary Affected Service,Title,Assignment Group,Open Time,Area,Outage Start,Outage End,Assignee,Closure Code,Solution,Description,Department
IM1503156,Closed,TUN4242,NodeB Service - TUN,"INCIDENT: TUN1242---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:6/6, 3G:9/9 ) Site Autonomy: 00:15:27s SM Tickets: 2",Maintenance JDAIDA-TBORBA,2/1/2022 1:40,Facteur externe,2/1/2022 1:24,2/1/2022 3:06,amor.haddad,Resolved without intervention,Retour énergie STEG,"TUN4242 : NodeB Unavailable This ticket was created by user netcool.sm on NOI from impact INCIDENT: TUN1242---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:6/6, 3G:9/9 ) Site Autonomy: 2 days, 8 hours SM Tickets: 1",Département Maintenance
IM1503159,Closed,BIZL042,eNB Service - BIZ,INCIDENT: BIZ1042---4G---Hors Service: CAUSE AND IMPACT: Cell Failure: ( 4G:1/9 ) SM Tickets: 1,Maintenance BIZERTE NORD,2/1/2022 1:42,transmission,2/1/2022 1:26,2/1/2022 11:37,yessine.mendili,Solved by Hardware Replacement,changement câble fibre optique,BIZL042F03 : Cell Unavailable This ticket was created by user netcool.sm on NOI from impact INCIDENT: BIZ1042---4G---Hors Service: CAUSE AND IMPACT: Cell Failure: ( 4G:1/9 ) SM Tickets: 0,Département Maintenance
IM1503160,Closed,TUNL108,eNB Service - TUN,INCIDENT: TUN1108---4G---Hors Service: CAUSE AND IMPACT: Cell Failure: ( 4G:3/9 ) SM Tickets: 2,Maintenance JDAIDA-TBORBA,2/1/2022 1:42,Facteur externe,2/1/2022 1:27,2/1/2022 2:33,amor.haddad,Resolved without intervention,Retour énergie STEG,TUNL108F01 : Cell Unavailable This ticket was created by user netcool.sm on NOI from impact INCIDENT: TUN1108---4G---Hors Service: CAUSE AND IMPACT: Cell Failure: ( 4G:3/9 ) SM Tickets: 1,Département Maintenance
IM1503162,Closed,CPE_TUNB185_MW_BNA_Mornaguia,CPE Service - TUNB,cpe_tunb185_mw_bna_mornaguia \ Down,Support Technique Fixe et B2B,2/1/2022 1:49,Network,2/1/2022 1:46,2/1/2022 2:37,aymen.warki,Resolved without intervention,retour sans intervention,Noeud: cpe_tunb185_mw_bna_mornaguia  Sévérité: major  Temps de création: 01/02/22 01:46:00  Temps de réception: 01/02/22 01:47:22  Application: null  Objet: null  Texte message: Node CPE_TUNB185_MW_BNA_Mornaguia DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2335322,Sous-Direction Support Client B2C et B2B
IM1503163,Closed,CPE_BAR8333_MW_Poulina_Mornaguia-Pondeuse,CPE Service - BAR,cpe_bar8333_mw_poulina_mornaguia-pondeuse \ Down,Support Technique Fixe et B2B,2/1/2022 1:49,Network,2/1/2022 1:45,2/1/2022 2:41,aymen.warki,Resolved without intervention,retour sans intervention,Noeud: cpe_bar8333_mw_poulina_mornaguia-pondeuse  Sévérité: major  Temps de création: 01/02/22 01:45:47  Temps de réception: 01/02/22 01:47:22  Application: null  Objet: null  Texte message: Node CPE_BAR8333_MW_Poulina_Mornaguia-Pondeuse DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2335321,Sous-Direction Support Client B2C et B2B
IM1503164,Closed,CPE_TUNB503_MW_Afrique_de_transport,CPE Service - TUNB,cpe_tunb503_mw_afrique_de_transport \ Down,Support Technique Fixe et B2B,2/1/2022 1:49,Network,2/1/2022 1:45,2/1/2022 2:43,aymen.warki,Resolved without intervention,retour sans intervention,Noeud: cpe_tunb503_mw_afrique_de_transport  Sévérité: major  Temps de création: 01/02/22 01:45:21  Temps de réception: 01/02/22 01:46:22  Application: null  Objet: null  Texte message: Node CPE_TUNB503_MW_Afrique_de_transport.tunisiana.com DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2335320,Sous-Direction Support Client B2C et B2B
IM1503165,Closed,CPE_BAR8669_MW_Poulina_elmazraa,CPE Service - BAR,cpe_bar8669_mw_poulina_elmazraa \ Down,Support Technique Fixe et B2B,2/1/2022 1:49,Network,2/1/2022 1:44,2/1/2022 2:40,aymen.warki,Resolved without intervention,retour sans intervention,Noeud: cpe_bar8669_mw_poulina_elmazraa  Sévérité: major  Temps de création: 01/02/22 01:44:43  Temps de réception: 01/02/22 01:45:22  Application: null  Objet: null  Texte message: Node CPE_BAR8669_MW_Poulina_elmazraa DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2335319,Sous-Direction Support Client B2C et B2B
IM1503166,Closed,CPE_BAR8330_MW_Poulina_Golbal-Trading,CPE Service - BAR,CPE_BAR8330_MW_Poulina_Golbal-Trading \ Down,Support Technique Fixe et B2B,2/1/2022 1:49,Network,2/1/2022 1:44,2/1/2022 2:40,aymen.warki,Resolved without intervention,retour sans intervention,Noeud: null  Sévérité: major  Temps de création: 01/02/22 01:44:14  Temps de réception: 01/02/22 01:45:21  Application: null  Objet: null  Texte message: Node CPE_BAR8330_MW_Poulina_Golbal-Trading.tunisiana.com DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2335318,Sous-Direction Support Client B2C et B2B
IM1503167,Closed,CPE_TUNB872_MW_SEBN_Site_El_Fejja,CPE Service - TUNB,cpe_tunb872_mw_sebn_site_el_fejja \ Down,Support Technique Fixe et B2B,2/1/2022 1:49,Network,2/1/2022 1:43,2/1/2022 3:20,aymen.warki,Resolved without intervention,retour sans intervention,Noeud: cpe_tunb872_mw_sebn_site_el_fejja  Sévérité: major  Temps de création: 01/02/22 01:43:19  Temps de réception: 01/02/22 01:44:21  Application: null  Objet: null  Texte message: Node CPE_TUNB872_MW_SEBN_Site_El_Fejja DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2335317,Sous-Direction Support Client B2C et B2B
IM1503168,Closed,CPE_TUNB742_MW_BNA_ELFAJJA,CPE Service - TUNB,cpe_tunb742_mw_bna_elfajja \ Down,Support Technique Fixe et B2B,2/1/2022 1:54,Network,2/1/2022 1:48,2/1/2022 3:20,aymen.warki,Resolved without intervention,retour sans intervention,Noeud: cpe_tunb742_mw_bna_elfajja  Sévérité: major  Temps de création: 01/02/22 01:48:22  Temps de réception: 01/02/22 01:49:23  Application: null  Objet: null  Texte message: Node CPE_TUNB742_MW_BNA_ELFAJJA DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2335326,Sous-Direction Support Client B2C et B2B
IM1503169,Closed,CPE_BAR8678_MW_HBG_Kia-Mhamdia,CPE Service - BAR,cpe_bar8678_mw_hbg_kia-mhamdia \ Down,Support Technique Fixe et B2B,2/1/2022 1:54,Network,2/1/2022 1:48,2/1/2022 2:44,aymen.warki,Resolved without intervention,retour sans intervention,Noeud: cpe_bar8678_mw_hbg_kia-mhamdia  Sévérité: major  Temps de création: 01/02/22 01:48:20  Temps de réception: 01/02/22 01:49:23  Application: null  Objet: null  Texte message: Node CPE_BAR8678_MW_HBG_Kia-Mhamdia.tunisiana.com DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2335325,Sous-Direction Support Client B2C et B2B
IM1503170,Closed,CPE_TUN8554_MW_Poulina_Mornaguia_dinde,CPE Service - TUN8,cpe_tun8554_mw_poulina_mornaguia_dinde \ Down,Support Technique Fixe et B2B,2/1/2022 1:54,Network,2/1/2022 1:47,2/1/2022 3:18,aymen.warki,Resolved without intervention,retour sans intervention,Noeud: cpe_tun8554_mw_poulina_mornaguia_dinde  Sévérité: major  Temps de création: 01/02/22 01:47:12  Temps de réception: 01/02/22 01:48:22  Application: null  Objet: null  Texte message: Node CPE_TUN8554_MW_Poulina_Mornaguia_dinde DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2335323,Sous-Direction Support Client B2C et B2B
IM1503171,Closed,TUNL406,eNB Service - TUN,INCIDENT: TUN1406---4G---Hors Service: Cell Failure caused by Total Cell Failure: ( 4G:1/9 ) SM Tickets: 1,Maintenance CARTHAGE-KRAM,2/1/2022 1:55,Facteur externe,2/1/2022 0:51,2/1/2022 1:58,saber.ferjani,Resolved without intervention,Retour STEG,TUNL406 : BASE STATION CONNECTIVITY PROBLEM This ticket was created by user netcool.sm on NOI from impact INCIDENT: TUN1406---4G---Hors Service: Cell Failure caused by Total Cell Failure: ( 4G:1/9 ) SM Tickets: 1,Département Maintenance
IM1503174,Closed,CPE_SIL8308_MW_SEB-Bargou-Seliana,CPE Service - SIL,cpe_sil8308_mw_seb-bargou-seliana \ Down,Support Technique Fixe et B2B,2/1/2022 2:38,Facteur externe,2/1/2022 2:36,2/1/2022 13:02,aymen.warki,Resolved without intervention, Resolved without intervention,Noeud: cpe_sil8308_mw_seb-bargou-seliana  Sévérité: major  Temps de création: 01/02/22 02:36:23  Temps de réception: 01/02/22 02:37:31  Application: null  Objet: null  Texte message: Node CPE_SIL8308_MW_SEB-Bargou-Seliana DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2335328,Sous-Direction Support Client B2C et B2B
IM1503176,Closed,CPE_SFX8856_MW_CHO_Agricole-AlAitha,CPE Service - SFX8,cpe_sfx8856_mw_cho_agricole-alaitha \ Down,Support Technique Fixe et B2B,2/1/2022 2:41,Facteur externe,2/1/2022 2:38,2/1/2022 10:44,aymen.warki,Resolved without intervention, Resolved without intervention,Noeud: cpe_sfx8856_mw_cho_agricole-alaitha  Sévérité: major  Temps de création: 01/02/22 02:38:10  Temps de réception: 01/02/22 02:39:32  Application: null  Objet: null  Texte message: Node CPE_SFX8856_MW_CHO_Agricole-AlAitha.tunisiana.com DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2335329,Sous-Direction Support Client B2C et B2B
IM1503177,Closed,CPE_TUN8608_MW_SKYBAR_SITE_1,CPE Service - TUN8,cpe_tun8608_mw_skybar_site_1 \ Down,Support Technique Fixe et B2B,2/1/2022 2:48,Network,2/1/2022 2:45,2/1/2022 5:06,moez.abdelmouleh,Resolved without intervention, CPE de nouveau UP,Noeud: cpe_tun8608_mw_skybar_site_1  Sévérité: major  Temps de création: 01/02/22 02:45:17  Temps de réception: 01/02/22 02:46:36  Application: null  Objet: null  Texte message: Node CPE_TUN8608_MW_SKYBAR_SITE_1.tunisiana.com DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2335334,Sous-Direction Support Client B2C et B2B
IM1503178,Closed,JEN4058,NodeB Service - JEN,"INCIDENT: JEN1058---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:5/5, 3G:12/12 ) Site Autonomy: N/A SM Tickets: 1",Maintenance AIN DRAHEM,2/1/2022 3:02,Facteur externe,2/1/2022 2:47,2/1/2022 16:32,nizar.bouslimi,Resolved without intervention,Retour STEG ,"JEN4058 : NodeB Unavailable This ticket was created by user netcool.sm on NOI from impact INCIDENT: JEN1058---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:5/5, 3G:12/12 ) Site Autonomy: N/A SM Tickets: 0",Département Maintenance
IM1503180,Closed,BEJ4038,NodeB Service - BEJ,"INCIDENT: BEJ1038---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:3/3, 3G:12/12 ) Site Autonomy: N/A SM Tickets: 1",Maintenance BEJA NORD,2/1/2022 3:08,Facteur externe,2/1/2022 2:53,2/1/2022 16:25,mohamed.toujani,Resolved without intervention,Retour STEG ,"BEJ4038 : NodeB Unavailable This ticket was created by user netcool.sm on NOI from impact INCIDENT: BEJ1038---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:3/3, 3G:12/12 ) Site Autonomy: N/A SM Tickets: 0",Département Maintenance
IM1503182,Closed,BEJ1006,BTS Service - BEJ,"INCIDENT: BEJ1006---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:4/4, 3G:0/8 ) Site Autonomy: - 00:02:52s SM Tickets: 1",maintenance beja nord,2/1/2022 3:11,Facteur externe,2/1/2022 2:56,2/1/2022 3:14,mohamed.toujani,Closed without intervention,Retour energie STEG,"Entree Beja_1_BEJ1006 : GSM Cell out of Service This ticket was created by user netcool.sm on NOI from impact INCIDENT: BEJ1006---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:4/4, 3G:0/8 ) Site Autonomy: - 00:02:52s SM Tickets: 1",Département Service Operation Center
IM1503183,Closed,JEN4042,NodeB Service - JEN,"INCIDENT: JEN1042---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:6/6, 3G:12/12 ) Site Autonomy: N/A SM Tickets: 1",Maintenance AIN DRAHEM,2/1/2022 3:18,Facteur externe,2/1/2022 3:02,2/1/2022 16:09,nizar.bouslimi,Resolved without intervention,Retour STEG ,"JEN4042 : NodeB Unavailable This ticket was created by user netcool.sm on NOI from impact INCIDENT: JEN1042---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:6/6, 3G:12/12 ) Site Autonomy: N/A SM Tickets: 0",Département Maintenance
IM1503184,Closed,NAB4250,NodeB Service - NAB,"INCIDENT: NAB1250---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:0/3, 3G:6/3 ) Site Autonomy: N/A SM Tickets: 1",Maintenance HAMMAMET,2/1/2022 3:23,software,2/1/2022 3:08,2/1/2022 8:00,hichem.bougoba,Incident Rejected,des cellules qui ne sont pas encore actives d'après le support BSS,"NAB4250F01 : Local Cell Unusable This ticket was created by user netcool.sm on NOI from impact INCIDENT: NAB1250---2G3G---Hors Service: CAUSE AND IMPACT: Cell Failure: ( 2G:0/3, 3G:6/3 ) Site Autonomy: N/A SM Tickets: 0",Département Maintenance
IM1503186,Closed,KAI1051,BTS Service - KAI,"INCIDENT: KAI1051---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:4/4, 3G:9/9 ) Site Autonomy: N/A SM Tickets: 1",Maintenance SILIANA,2/1/2022 3:51,Facteur externe,2/1/2022 3:36,2/1/2022 12:44,meher.zneigui,Resolved without intervention,Retour STEG,"Oued Ksab_1_KAI1051 : GSM Cell out of Service This ticket was created by user netcool.sm on NOI from impact INCIDENT: KAI1051---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:4/4, 3G:9/9 ) Site Autonomy: N/A SM Tickets: 0",Département Maintenance
IM1503189,Closed,CPE_TUNC106_FTTH_FIRST-DELIVERY_Charguia2,CPE Service - TUNC,CPE_TUNC106_FTTH_FIRST-DELIVERY_Charguia2 \ Down,Support Technique Fixe et B2B,2/1/2022 3:55,Network,2/1/2022 3:46,2/1/2022 5:27,moez.abdelmouleh,Resolved without intervention, CPE de nouveau UP,Noeud: opscxprod  Sévérité: major  Temps de création: 01/02/22 03:46:19  Temps de réception: 01/02/22 03:47:46  Application: null  Objet: null  Texte message: Node CPE_TUNC106_FTTH_FIRST-DELIVERY_Charguia2.tunisiana.com DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2335339,Sous-Direction Support Client B2C et B2B
IM1503191,Closed,BEJ4016,NodeB Service - BEJ,"INCIDENT: BEJ1016---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:6/6, 3G:12/12 ) Site Autonomy: N/A SM Tickets: 1",Maintenance BEJA CENTRE,2/1/2022 3:58,Facteur externe,2/1/2022 3:42,2/1/2022 5:51,mohamed.toujani,Resolved without intervention,Retour STEG,"BEJ4016 : NodeB Unavailable This ticket was created by user netcool.sm on NOI from impact INCIDENT: BEJ1016---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:6/6, 3G:12/12 ) Site Autonomy: N/A SM Tickets: 0",Département Maintenance
IM1503195,Closed,KAS7022_CDS_Kasserine,Boutiques Service - KAS,Connexion avec FRI43_KAS7022_R1   is down,Service Support Reseau Local & Boutiques,2/1/2022 4:02,Network,2/1/2022 4:02,2/1/2022 4:06,rafik.bouguerra,Resolved without intervention,lien UP de nouveau UP,oeud: primeInfra  Sévérité: critical  Temps de création: 01/02/22 04:02:26  Temps de réception: 01/02/22 04:02:35  Application: CiscoPrime  Objet: Switch down_172.31.45.254:FRI43_KAS7022_R1  Texte message: a Switch down issue occured on 172.31.45.254:FRI43_KAS7022_R1. details: Device 'FRI43_KAS7022_R1' is unreachable. - Device Name: FRI43_KAS7022_R1 - Reporting Address: 172.31.45.254 merci de contacter Support Reseau Local et Boutiques  MSGID: 71c215c8-d86d-4ef9-90f9-8481a2bd963d,Département Systemes - Support IT & Bureautique
IM1503196,Closed,RNIA_KAS8308_MW_118081_Institut_sup_Art_metier_Kasserine,RNIA Service - KAS,RNIA_KAS8308_MW_118081_Institut_sup_Art_metier_Kasserine  \ Down,Support Technique Fixe et B2B,2/1/2022 4:02,Network,2/1/2022 3:58,2/1/2022 6:20,moez.abdelmouleh,Resolved without intervention, CPE de nouveau UP,Noeud: null  Sévérité: major  Temps de création: 01/02/22 03:58:59  Temps de réception: 01/02/22 04:00:17  Application: null  Objet: null  Texte message: Node RNIA_KAS8308_MW_118081_Institut_sup_Art_metier_Kasserine DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2335341,Sous-Direction Support Client B2C et B2B
IM1503197,Closed,BARL133,eNB Service - BAR,INCIDENT: BAR1133---4G---Hors Service: CAUSE AND IMPACT: Cell Failure: ( 4G:1/9 ) SM Tickets: 0,Maintenance MOUROUJ-BEN AROUS,2/1/2022 4:03,Facteur externe,2/1/2022 3:48,2/1/2022 4:16,ali.dhib,Closed without intervention,Retour energie STEG,BARL133 : BASE STATION CONNECTIVITY PROBLEM This ticket was created by user netcool.sm on NOI from impact INCIDENT: BAR1133---4G---Hors Service: CAUSE AND IMPACT: Cell Failure: ( 4G:1/9 ) SM Tickets: 0,Département Maintenance
IM1503204,Closed,SLO1009,BTS Service - SIL,"INCIDENT: SLO1009---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:5/5, 3G:0/9 ) Site Autonomy: N/A SM Tickets: 0",maintenance siliana,2/1/2022 4:16,Facteur externe,2/1/2022 4:00,2/1/2022 4:22,meher.zneigui,Closed without intervention,Retour energie STEG,"Makthar_SLO1009 : OML Fault This ticket was created by user netcool.sm on NOI from impact INCIDENT: SLO1009---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:5/5, 3G:0/9 ) Site Autonomy: N/A SM Tickets: 0",Département Service Operation Center
IM1503205,Closed,TUN4201,NodeB Service - TUN,"INCIDENT: TUN1201---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:5/5, 3G:9/9 ) Site Autonomy: N/A SM Tickets: 0",maintenance jdaida-tborba,2/1/2022 4:19,Facteur externe,2/1/2022 4:03,2/1/2022 4:22,amor.haddad,Closed without intervention,Retour energie STEG,"TUN4201 : NodeB Unavailable This ticket was created by user netcool.sm on NOI from impact INCIDENT: TUN1201---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:5/5, 3G:9/9 ) Site Autonomy: N/A SM Tickets: 0",Département Maintenance
IM1503206,Closed,TUN4242,NodeB Service - TUN,"INCIDENT: TUN1242---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:6/6, 3G:0/9 ) Site Autonomy: - 00:08:37s SM Tickets: 2",maintenance jdaida-tborba,2/1/2022 4:19,Facteur externe,2/1/2022 4:03,2/1/2022 4:25,amor.haddad,Closed without intervention,Retour energie STEG,"TUN4242 : NodeB Unavailable This ticket was created by user netcool.sm on NOI from impact INCIDENT: TUN1242---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:6/6, 3G:9/9 ) Site Autonomy: 01:08:35s SM Tickets: 1",Département Maintenance
IM1503208,Closed,TUN1203,BTS Service - TUN,"INCIDENT: TUN1203---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:6/6, 3G:0/9 ) Site Autonomy: N/A SM Tickets: 0",maintenance jdaida-tborba,2/1/2022 4:20,Facteur externe,2/1/2022 4:04,2/1/2022 4:21,amor.haddad,Closed without intervention,Retour energie STEG,"Sidi_Ali_El_Hattab_1_TUN1203 : GSM Cell out of Service This ticket was created by user netcool.sm on NOI from impact INCIDENT: TUN1203---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:6/6, 3G:0/9 ) Site Autonomy: N/A SM Tickets: 0",Département Maintenance
IM1503209,Closed,CPE_TUN8854_FO_WFS_Siege,CPE Service - TUN,cpe_tun8854_fo_wfs_siege Down,Support Technique Fixe et B2B,2/1/2022 4:21,Network,2/1/2022 4:11,2/1/2022 6:12,moez.abdelmouleh,Resolved without intervention, CPE de nouveau UP,Noeud: cpe_tun8854_fo_wfs_siege  Sévérité: major  Temps de création: 01/02/22 04:11:06  Temps de réception: 01/02/22 04:11:51  Application: null  Objet: null  Texte message: Node CPE_TUN8854_FO_WFS_Siege.ooredoo.tn DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2335343,Sous-Direction Support Client B2C et B2B
